UnixTimeStamp,TimeStamp,X,Y,Z
1215696984579,2008-07-10 13:36:24,,,,
1215696985611,2008-07-10 13:36:25,,,,
1215696986626,2008-07-10 13:36:26,,,,
1215696987704,2008-07-10 13:36:27,,,,
1215696988720,2008-07-10 13:36:28,,,,
1215696989745,2008-07-10 13:36:29,,,,
1215696990745,2008-07-10 13:36:30,,,,
1215696991745,2008-07-10 13:36:31,,,,
1215696992761,2008-07-10 13:36:32,,,,
1215696993761,2008-07-10 13:36:33,,,,
1215696994761,2008-07-10 13:36:34,,,,
1215696995761,2008-07-10 13:36:35,,,,
1215696996761,2008-07-10 13:36:36,,,,
1215696997761,2008-07-10 13:36:37,,,,
1215696998777,2008-07-10 13:36:38,,,,
1215696999793,2008-07-10 13:36:39,,,,
1215697000809,2008-07-10 13:36:40,,,,
1215697001809,2008-07-10 13:36:41,,,,
1215697002809,2008-07-10 13:36:42,,,,
1215697003809,2008-07-10 13:36:43,,,,
1215697004823,2008-07-10 13:36:44,,,,
1215697005823,2008-07-10 13:36:45,03.00,05.60,03.00
1215697006823,2008-07-10 13:36:46,05.62,05.31,19.85
1215697007824,2008-07-10 13:36:47,03.94,03.00,06.82
1215697008824,2008-07-10 13:36:48,02.16,01.76,02.05
1215697009840,2008-07-10 13:36:49,06.47,06.34,07.63
1215697010871,2008-07-10 13:36:50,03.13,02.29,02.97
1215697011871,2008-07-10 13:36:51,04.96,06.62,11.88
1215697012871,2008-07-10 13:36:52,08.09,07.27,09.66
1215697013871,2008-07-10 13:36:53,06.70,07.38,05.38
1215697014871,2008-07-10 13:36:54,15.61,04.00,08.18
1215697015871,2008-07-10 13:36:55,12.52,07.00,09.33
1215697016879,2008-07-10 13:36:56,05.69,03.81,05.95
1215697017895,2008-07-10 13:36:57,13.52,12.77,13.41
1215697018926,2008-07-10 13:36:58,13.82,09.24,16.41
1215697019933,2008-07-10 13:36:59,13.18,07.94,16.41
1215697020948,2008-07-10 13:37:00,12.86,12.43,13.43
1215697021948,2008-07-10 13:37:01,17.94,16.24,17.59
1215697022948,2008-07-10 13:37:02,06.00,11.50,21.00
1215697023948,2008-07-10 13:37:03,,,,
1215697024948,2008-07-10 13:37:04,,,,
1215697025948,2008-07-10 13:37:05,10.00,06.60,21.80
1215697026948,2008-07-10 13:37:06,05.00,24.67,19.67
1215697027948,2008-07-10 13:37:07,,,,
1215697028949,2008-07-10 13:37:08,16.50,32.67,48.67
1215697029949,2008-07-10 13:37:09,04.80,05.04,06.04
1215697030949,2008-07-10 13:37:10,22.58,26.17,30.33
1215697031949,2008-07-10 13:37:11,17.00,06.40,11.80
1215697032949,2008-07-10 13:37:12,09.04,18.64,21.72
1215697033949,2008-07-10 13:37:13,31.14,17.67,27.24
1215697034949,2008-07-10 13:37:14,04.07,04.97,05.21
1215697035949,2008-07-10 13:37:15,05.00,02.00,03.00
1215697036964,2008-07-10 13:37:16,02.43,02.93,02.23
