UnixTimeStamp,TimeStamp,X,Y,Z
1215696984579,2008-07-10 13:36:24,04.00,04.95,05.78
1215696985611,2008-07-10 13:36:25,04.75,05.75,08.53
1215696986626,2008-07-10 13:36:26,07.52,05.50,16.16
1215696987704,2008-07-10 13:36:27,00.94,01.33,00.75
1215696988720,2008-07-10 13:36:28,01.26,01.26,00.74
1215696989745,2008-07-10 13:36:29,00.85,01.20,01.00
1215696990745,2008-07-10 13:36:30,00.74,01.23,00.84
1215696991745,2008-07-10 13:36:31,01.29,00.98,00.68
1215696992761,2008-07-10 13:36:32,01.12,01.29,00.62
1215696993761,2008-07-10 13:36:33,00.89,01.45,00.70
1215696994761,2008-07-10 13:36:34,01.11,01.14,00.94
1215696995761,2008-07-10 13:36:35,01.26,01.28,01.14
1215696996761,2008-07-10 13:36:36,01.00,01.43,01.09
1215696997761,2008-07-10 13:36:37,01.23,01.16,01.16
1215696998777,2008-07-10 13:36:38,00.88,01.12,00.76
1215696999793,2008-07-10 13:36:39,01.10,01.12,01.00
1215697000809,2008-07-10 13:36:40,00.84,01.58,00.74
1215697001809,2008-07-10 13:36:41,00.88,01.35,01.05
1215697002809,2008-07-10 13:36:42,01.16,01.11,01.08
1215697003809,2008-07-10 13:36:43,01.31,01.72,01.69
1215697004823,2008-07-10 13:36:44,01.20,01.44,01.11
1215697005823,2008-07-10 13:36:45,01.31,01.21,00.81
1215697006823,2008-07-10 13:36:46,00.93,01.05,01.17
1215697007824,2008-07-10 13:36:47,01.07,01.17,01.32
1215697008824,2008-07-10 13:36:48,01.12,01.17,00.88
1215697009840,2008-07-10 13:36:49,01.03,01.18,01.03
1215697010871,2008-07-10 13:36:50,00.97,01.26,00.74
1215697011871,2008-07-10 13:36:51,01.09,01.31,00.86
1215697012871,2008-07-10 13:36:52,01.11,00.89,00.97
1215697013871,2008-07-10 13:36:53,00.89,01.00,00.81
1215697014871,2008-07-10 13:36:54,01.12,01.24,00.76
1215697015871,2008-07-10 13:36:55,01.00,01.14,01.06
1215697016879,2008-07-10 13:36:56,01.03,01.03,01.03
1215697017895,2008-07-10 13:36:57,00.97,01.24,00.95
1215697018926,2008-07-10 13:36:58,00.79,01.24,00.82
1215697019933,2008-07-10 13:36:59,01.05,01.34,01.13
1215697020948,2008-07-10 13:37:00,01.10,01.38,00.86
1215697021948,2008-07-10 13:37:01,02.07,02.87,01.07
1215697022948,2008-07-10 13:37:02,01.00,01.48,00.77
1215697023948,2008-07-10 13:37:03,01.07,00.93,00.86
1215697024948,2008-07-10 13:37:04,01.12,01.10,00.98
1215697025948,2008-07-10 13:37:05,01.14,01.00,01.05
1215697026948,2008-07-10 13:37:06,00.74,01.46,00.72
1215697027948,2008-07-10 13:37:07,01.09,01.27,00.91
1215697028949,2008-07-10 13:37:08,00.83,01.03,01.00
1215697029949,2008-07-10 13:37:09,01.00,01.21,00.84
1215697030949,2008-07-10 13:37:10,00.95,01.18,00.80
1215697031949,2008-07-10 13:37:11,00.78,01.27,00.71
1215697032949,2008-07-10 13:37:12,00.95,00.91,00.91
1215697033949,2008-07-10 13:37:13,01.08,01.26,00.92
1215697034949,2008-07-10 13:37:14,01.07,00.90,01.03
1215697035949,2008-07-10 13:37:15,01.12,01.21,00.85
1215697036964,2008-07-10 13:37:16,01.16,01.40,00.98
1215697037964,2008-07-10 13:37:17,01.40,00.86,00.69
1215697038980,2008-07-10 13:37:18,01.22,01.31,00.94
1215697040012,2008-07-10 13:37:20,00.31,00.77,01.15
1215697041012,2008-07-10 13:37:21,01.15,01.48,00.93
1215697042012,2008-07-10 13:37:22,00.63,01.03,00.78
1215697043012,2008-07-10 13:37:23,00.83,01.04,01.00
1215697044027,2008-07-10 13:37:24,00.81,01.04,00.81
1215697045042,2008-07-10 13:37:25,01.06,01.06,00.94
1215697046073,2008-07-10 13:37:26,00.97,01.29,01.15
1215697047089,2008-07-10 13:37:27,00.81,01.54,01.11
1215697048089,2008-07-10 13:37:28,01.13,01.16,00.87
1215697049105,2008-07-10 13:37:29,00.84,01.21,01.23
