UnixTimeStamp,TimeStamp,Sampling
1215696984579,2008-07-10 13:36:24,0
1215696985611,2008-07-10 13:36:25,0
1215696986626,2008-07-10 13:36:26,0
1215696987704,2008-07-10 13:36:27,0
1215696988720,2008-07-10 13:36:28,0
1215696989745,2008-07-10 13:36:29,0
1215696990745,2008-07-10 13:36:30,0
1215696991745,2008-07-10 13:36:31,0
1215696992761,2008-07-10 13:36:32,0
1215696993761,2008-07-10 13:36:33,0
1215696994761,2008-07-10 13:36:34,0
1215696995761,2008-07-10 13:36:35,0
1215696996761,2008-07-10 13:36:36,0
1215696997761,2008-07-10 13:36:37,0
1215696998777,2008-07-10 13:36:38,0
1215696999793,2008-07-10 13:36:39,0
1215697000809,2008-07-10 13:36:40,0
1215697001809,2008-07-10 13:36:41,0
1215697002809,2008-07-10 13:36:42,0
1215697003809,2008-07-10 13:36:43,0
1215697004823,2008-07-10 13:36:44,0
1215697005823,2008-07-10 13:36:45,0
1215697006823,2008-07-10 13:36:46,0
1215697007824,2008-07-10 13:36:47,0
1215697008824,2008-07-10 13:36:48,0
1215697009840,2008-07-10 13:36:49,0
1215697010871,2008-07-10 13:36:50,0
1215697011871,2008-07-10 13:36:51,0
1215697012871,2008-07-10 13:36:52,0
1215697013871,2008-07-10 13:36:53,0
1215697014871,2008-07-10 13:36:54,0
1215697015871,2008-07-10 13:36:55,0
1215697016879,2008-07-10 13:36:56,0
1215697017895,2008-07-10 13:36:57,0
1215697018926,2008-07-10 13:36:58,0
1215697019933,2008-07-10 13:36:59,0
1215697020948,2008-07-10 13:37:00,0
1215697021948,2008-07-10 13:37:01,0
1215697022948,2008-07-10 13:37:02,0
1215697023948,2008-07-10 13:37:03,0
1215697024948,2008-07-10 13:37:04,0
1215697025948,2008-07-10 13:37:05,0
1215697026948,2008-07-10 13:37:06,0
1215697027948,2008-07-10 13:37:07,0
1215697028949,2008-07-10 13:37:08,0
1215697029949,2008-07-10 13:37:09,0
1215697030949,2008-07-10 13:37:10,0
1215697031949,2008-07-10 13:37:11,0
1215697032949,2008-07-10 13:37:12,0
1215697033949,2008-07-10 13:37:13,0
1215697034949,2008-07-10 13:37:14,0
1215697035949,2008-07-10 13:37:15,0
1215697036964,2008-07-10 13:37:16,0
1215697037964,2008-07-10 13:37:17,0
1215697038980,2008-07-10 13:37:18,0
1215697040012,2008-07-10 13:37:20,0
1215697041012,2008-07-10 13:37:21,0
1215697042012,2008-07-10 13:37:22,0
1215697043012,2008-07-10 13:37:23,0
1215697044027,2008-07-10 13:37:24,0
1215697045042,2008-07-10 13:37:25,0
1215697046073,2008-07-10 13:37:26,0
1215697047089,2008-07-10 13:37:27,0
1215697048089,2008-07-10 13:37:28,0
1215697049105,2008-07-10 13:37:29,0
1215697050106,2008-07-10 13:37:30,0
1215697051278,2008-07-10 13:37:31,0
1215697052293,2008-07-10 13:37:32,0
1215697053309,2008-07-10 13:37:33,0
1215697054309,2008-07-10 13:37:34,0
1215697055309,2008-07-10 13:37:35,0
1215697056309,2008-07-10 13:37:36,0
1215697057340,2008-07-10 13:37:37,0
1215697058340,2008-07-10 13:37:38,0
1215697059356,2008-07-10 13:37:39,0
1215697060356,2008-07-10 13:37:40,0
1215697061377,2008-07-10 13:37:41,0
1215697062377,2008-07-10 13:37:42,0
1215697063377,2008-07-10 13:37:43,0
1215697064387,2008-07-10 13:37:44,0
1215697065387,2008-07-10 13:37:45,0
1215697066387,2008-07-10 13:37:46,0
1215697067387,2008-07-10 13:37:47,0
1215697068387,2008-07-10 13:37:48,0
1215697069393,2008-07-10 13:37:49,0
1215697070393,2008-07-10 13:37:50,0
