UnixTimeStamp,TimeStamp,OxyconHR,OxyconBF,OxyconVE,OxyconVO2kg,OxyconRER
1215696984579,7/10/2008 13:36,,,,,
1215696985611,7/10/2008 13:36,,,,,
1215696986626,7/10/2008 13:36,,,,,
1215696987704,7/10/2008 13:36,,,,,
1215696988720,7/10/2008 13:36,,,,,
1215696989745,7/10/2008 13:36,,,,,
1215696990745,7/10/2008 13:36,,,,,
1215696991745,7/10/2008 13:36,,,,,
1215696992761,7/10/2008 13:36,,,,,
1215696993761,7/10/2008 13:36,,,,,
1215696994761,7/10/2008 13:36,,,,,
1215696995761,7/10/2008 13:36,,,,,
1215696996761,7/10/2008 13:36,,,,,
1215696997761,7/10/2008 13:36,,,,,
1215696998777,7/10/2008 13:36,,,,,
1215696999793,7/10/2008 13:36,,,,,
1215697000809,7/10/2008 13:36,,,,,
1215697001809,7/10/2008 13:36,,,,,
1215697002809,7/10/2008 13:36,,,,,
1215697003809,7/10/2008 13:36,,,,,
1215697004823,7/10/2008 13:36,,,,,
1215697005823,7/10/2008 13:36,,,,,
1215697006823,7/10/2008 13:36,,,,,
1215697007824,7/10/2008 13:36,,,,,
1215697008824,7/10/2008 13:36,,,,,
1215697009840,7/10/2008 13:36,,,,,
1215697010871,7/10/2008 13:36,,,,,
1215697011871,7/10/2008 13:36,,,,,
1215697012871,7/10/2008 13:36,,,,,
1215697013871,7/10/2008 13:36,,,,,
1215697014871,7/10/2008 13:36,,,,,
1215697015871,7/10/2008 13:36,,,,,
1215697016879,7/10/2008 13:36,,,,,
1215697017895,7/10/2008 13:36,,,,,
1215697018926,7/10/2008 13:36,,,,,
1215697019933,7/10/2008 13:36,,,,,
1215697020948,7/10/2008 13:37,,,,,
1215697021948,7/10/2008 13:37,,,,,
1215697022948,7/10/2008 13:37,,,,,
1215697023948,7/10/2008 13:37,,,,,
1215697024948,7/10/2008 13:37,,,,,
1215697025948,7/10/2008 13:37,,,,,
1215697026948,7/10/2008 13:37,,,,,
1215697027948,7/10/2008 13:37,,,,,
1215697028949,7/10/2008 13:37,,,,,
1215697029949,7/10/2008 13:37,,,,,
1215697030949,7/10/2008 13:37,,,,,
1215697031949,7/10/2008 13:37,,,,,
1215697032949,7/10/2008 13:37,,,,,
1215697033949,7/10/2008 13:37,,,,,
1215697034949,7/10/2008 13:37,,,,,
1215697035949,7/10/2008 13:37,,,,,
1215697036964,7/10/2008 13:37,,,,,
1215697037964,7/10/2008 13:37,,,,,
1215697038980,7/10/2008 13:37,,,,,
1215697040012,7/10/2008 13:37,,,,,
1215697041012,7/10/2008 13:37,,,,,
1215697042012,7/10/2008 13:37,,,,,
1215697043012,7/10/2008 13:37,,,,,
1215697044027,7/10/2008 13:37,,,,,
1215697045042,7/10/2008 13:37,,,,,
1215697046073,7/10/2008 13:37,,,,,
1215697047089,7/10/2008 13:37,,,,,
1215697048089,7/10/2008 13:37,,,,,
1215697049105,7/10/2008 13:37,,,,,
1215697050106,7/10/2008 13:37,,,,,
1215697051278,7/10/2008 13:37,,,,,
1215697052293,7/10/2008 13:37,,,,,
1215697053309,7/10/2008 13:37,,,,,
1215697054309,7/10/2008 13:37,,,,,
1215697055309,7/10/2008 13:37,,,,,
1215697056309,7/10/2008 13:37,,,,,
1215697057340,7/10/2008 13:37,,,,,
1215697058340,7/10/2008 13:37,,,,,
1215697059356,7/10/2008 13:37,,,,,
1215697060356,7/10/2008 13:37,,,,,
1215697061377,7/10/2008 13:37,,,,,
1215697062377,7/10/2008 13:37,,,,,
1215697063377,7/10/2008 13:37,,,,,
1215697064387,7/10/2008 13:37,,,,,
1215697065387,7/10/2008 13:37,,,,,
1215697066387,7/10/2008 13:37,,,,,
1215697067387,7/10/2008 13:37,,,,,
1215697068387,7/10/2008 13:37,,,,,
1215697069393,7/10/2008 13:37,,,,,
1215697070393,7/10/2008 13:37,,,,,
1215697071393,7/10/2008 13:37,,,,,
1215697072403,7/10/2008 13:37,,,,,
1215697073403,7/10/2008 13:37,,,,,
1215697074418,7/10/2008 13:37,,,,,
1215697075419,7/10/2008 13:37,,,,,
1215697076419,7/10/2008 13:37,,,,,
1215697077434,7/10/2008 13:37,,,,,
1215697078434,7/10/2008 13:37,,,,,
1215697079434,7/10/2008 13:37,,,,,
1215697080434,7/10/2008 13:38,,,,,
1215697081548,7/10/2008 13:38,,,,,
1215697082564,7/10/2008 13:38,,,,,
1215697083574,7/10/2008 13:38,,,,,
1215697084594,7/10/2008 13:38,,,,,
1215697085610,7/10/2008 13:38,,,,,
1215697086622,7/10/2008 13:38,,,,,
1215697087637,7/10/2008 13:38,,,,,
1215697088653,7/10/2008 13:38,,,,,
1215697089654,7/10/2008 13:38,,,,,
1215697090669,7/10/2008 13:38,,,,,
1215697091669,7/10/2008 13:38,,,,,
1215697092685,7/10/2008 13:38,,,,,
1215697093699,7/10/2008 13:38,,,,,
1215697094715,7/10/2008 13:38,,,,,
1215697095717,7/10/2008 13:38,,,,,
1215697096733,7/10/2008 13:38,,,,,
1215697097747,7/10/2008 13:38,,,,,
1215697098763,7/10/2008 13:38,,,,,
1215697099778,7/10/2008 13:38,,,,,
1215697100794,7/10/2008 13:38,,,,,
1215697101810,7/10/2008 13:38,,,,,
1215697102824,7/10/2008 13:38,,,,,
1215697103825,7/10/2008 13:38,,,,,
1215697104825,7/10/2008 13:38,,,,,
1215697105856,7/10/2008 13:38,,,,,
1215697106857,7/10/2008 13:38,,,,,
1215697107871,7/10/2008 13:38,,,,,
1215697108887,7/10/2008 13:38,,,,,
1215697109888,7/10/2008 13:38,,,,,
1215697110888,7/10/2008 13:38,,,,,
1215697111903,7/10/2008 13:38,,,,,
1215697112904,7/10/2008 13:38,,,,,
1215697113922,7/10/2008 13:38,,,,,
1215697114922,7/10/2008 13:38,,,,,
1215697115950,7/10/2008 13:38,,,,,
1215697116950,7/10/2008 13:38,,,,,
1215697117950,7/10/2008 13:38,,,,,
1215697118966,7/10/2008 13:38,,,,,
1215697119982,7/10/2008 13:38,,,,,
1215697120997,7/10/2008 13:38,,,,,
1215697122012,7/10/2008 13:38,,,,,
1215697123028,7/10/2008 13:38,,,,,
